MeshName,EnergyPrimalIntegrability,CalculatedValue
elongated-pentagonal-orthobirotunda,0.00017820870583199836,0.004299714292804489
elongated-pentagonal-orthocupolarotunda,9.626025385390433e-05,0.0037262379994916304
elongated-square-bipyramid,6.0937197381872494e-05,0.002071957463548842
elongated-triangular-cupola,5.712638083978588e-05,0.0036629411286829717
gyrate-rhombicosidodecahedron,7.344487629337326e-05,0.0029263715230351426
gyroelongated-pentagonal-birotunda,0.00015753598123699754,0.004210835519540262
gyroelongated-pentagonal-cupola,3.5577713943737295e-05,0.0025526180319831024
gyroelongated-triangular-bicupola,0.00012273078861468865,0.004610037206314227
hebesphenomegacorona,0.0001386441926780937,0.00512021956604637
hexagonal-antiprism,4.252394454017894e-05,0.002288502085627259
hexagonal-prism,2.0453913614767937e-05,0.0045614042467317165
icosahedron,0.00023317298059575905,0.0058451930591572315
icosidodecahedron,0.00013430240866273577,0.004634639491245758
metabiaugmented-dodecahedron,0.00010690314318970997,0.004899545587559696
metabiaugmented-hexagonal-prism,3.2078450101948e-05,0.0021893105262786538
metabiaugmented-truncated-dodecahedron,0.0001855683407860085,0.005258152587539554
metabidiminished-icosahedron,0.0001092834684045493,0.0035417803827160893
metabigyrate-rhombicosidodecahedron,6.970919250782214e-05,0.002974475402838203
metagyrate-diminished-rhombicosidodecahedron,8.290751128502968e-05,0.0039785087763102136
octagonal-antiprism,1.7249812859246442e-05,0.0013029163292567513
octagonal-prism,3.192344406369429e-05,0.0014130457322278666
octahedron,5.6090174106946396e-05,0.0033507745525166574
parabiaugmented-dodecahedron,0.00011217684759066599,0.004981054900481397
parabiaugmented-hexagonal-prism,1.4283048758783801e-05,0.0015640127418546943
parabiaugmented-truncated-dodecahedron,0.00015162982291186443,0.004923715595502334
parabidiminished-rhombicosidodecahedron,6.172628623286038e-05,0.003630798804390619
parabigyrate-rhombicosidodecahedron,7.609961329376208e-05,0.0031080906788430594
paragyrate-diminished-rhombicosidodecahedron,6.414107272157466e-05,0.003276688971422917
pentagonal-antiprism,8.068627399490182e-05,0.0027869884401754245
pentagonal-bipyramid,7.013824893307364e-05,0.002763348728384403
pentagonal-cupola,1.1377871684875402e-05,0.0008671036253029841
pentagonal-gyrobicupola,6.596692359631931e-05,0.002456807579443272
pentagonal-orthobicupola,3.675836904122263e-05,0.0016277885224795878
pentagonal-orthobirotunda,0.00016591419224589054,0.004921659745345656
pentagonal-orthocupolarotunda,7.621600031411269e-05,0.0031760273931513818
pentagonal-prism,5.290666820237663e-06,0.001410541390057963
pentagonal-pyramid,2.7736424047036722e-05,0.0017765602987067821
pentagonal-rotunda,6.291799800124898e-05,0.0023660839806872347
rhombicosidodecahedron,5.820359271241392e-05,0.00280172495031255
rhombicuboctahedron,0.00017281018034061448,0.004691365956053447
snub-cube,9.660083506656833e-05,0.004147141744434876
snub-disphenoid,5.160360806373396e-05,0.0030574771434303603
snub-dodecahedron,5.060475105348276e-05,0.0026071516595520595
snub-square-antiprism,8.762860093241323e-05,0.003723313792005431
sphenocorona,5.692163328162695e-05,0.0032604355175809624
sphenomegacorona,8.58761261363734e-05,0.003434612615272594
square-antiprism,8.847954054021067e-05,0.003968623206875092
square-cupola,5.858503541452725e-05,0.0022265816626701293
square-gyrobicupola,6.258418501431918e-05,0.0029449341280440742
square-orthobicupola,7.098097504499119e-05,0.003054007563572825
square-pyramid,3.9397050921739125e-05,0.002386124721254222
tetrahedron,9.422475856174411e-06,0.001160510556704025
triangular-bipyramid,2.288484859077131e-05,0.0014936784619325994
triangular-cupola,5.9048769365927006e-05,0.0025456049573229127
triangular-hebesphenorotunda,8.443883613075944e-05,0.0033016363783374266
triangular-orthobicupola,9.493864712677718e-05,0.005050932831581436
triangular-prism,1.5017390898881422e-05,0.0013166259470932167
triaugmented-dodecahedron,0.00014120092807044194,0.005325961846085333
triaugmented-hexagonal-prism,3.666831460171424e-05,0.0026076003297586833
triaugmented-triangular-prism,4.512690977007666e-05,0.0034703890719276686
triaugmented-truncated-dodecahedron,0.0001736043947337173,0.00479416093474316
tridiminished-icosahedron,4.105756801149936e-05,0.002891462212681105
tridiminished-rhombicosidodecahedron,9.59998288464095e-05,0.00400425430230348
trigyrate-rhombicosidodecahedron,7.201448709820212e-05,0.00287847477801504
truncated-cube,0.0001500087757696672,0.0027386854769361987
truncated-dodecahedron,0.00017356454486558903,0.005226433783510973
truncated-icosahedron,0.00013702341188605633,0.0037970639832734143
truncated-icosidodecahedron,9.92566779628408e-05,0.003346448738986142
truncated-octahedron,9.618695350746702e-05,0.004653384056771036
truncated-tetrahedron,3.302076298150555e-05,0.002541796095408529
